4347 Id2(solute)	Id1(solvent)	T (K)	γ2͚ Exp	Solute	Solvent
1678917	56235	298.2	1.23	Ethylcyclohexane	Carbon Tetrachloride
67561	60297	298.2	4.72	Methanol	Diethyl Ether
67561	60297	338.2	3.82	Methanol	Diethyl Ether
67561	60297	388.2	2.88	Methanol	Diethyl Ether
67641	60297	298.1	2.27	Acetone	Diethyl Ether
67641	60297	338.2	2.05	Acetone	Diethyl Ether
67641	60297	388.3	1.87	Acetone	Diethyl Ether
75058	60297	298.1	3.97	Acetonitrile	Diethyl Ether
75058	60297	338.2	3.32	Acetonitrile	Diethyl Ether
75058	60297	388.2	2.67	Acetonitrile	Diethyl Ether
75525	60297	298.2	3.93	Nitromethane	Diethyl Ether
108883	60297	298.2	1.2	Toluene	Diethyl Ether
111659	60297	298.2	1.53	octane	Diethyl Ether
123911	60297	298.2	1.96	dioxane	Diethyl Ether
56235	62533	293.2	4.8	Carbon Tetrachloride	Aniline
64175	62533	298.2	2.4	Ethanol	Aniline
64175	62533	313.2	2.69	Ethanol	Aniline
64175	62533	313.2	2.54	Ethanol	Aniline
64175	62533	328.2	2.45	Ethanol	Aniline
64175	62533	350.8	2.17	Ethanol	Aniline
64175	62533	386.7	1.88	Ethanol	Aniline
67561	62533	293.2	2.39	Methanol	Aniline
67641	62533	386.7	1.1	Acetone	Aniline
67641	62533	350.8	0.94	Acetone	Aniline
67641	62533	313.2	0.7	Acetone	Aniline
67641	62533	277.4	0.62	Acetone	Aniline
67641	62533	293.2	0.8	Acetone	Aniline
67663	62533	293.2	1.5	Chloroform	Aniline
71432	62533	293.2	2.22	Benzene	Aniline
71432	62533	293.2	2.24	Benzene	Aniline
71432	62533	298.2	2.2	Benzene	Aniline
71432	62533	298.2	2.24	Benzene	Aniline
71432	62533	298.2	2.34	Benzene	Aniline
71432	62533	333.2	2	Benzene	Aniline
71432	62533	373.2	1.8	Benzene	Aniline
74964	62533	293.2	2.14	Bromoethane	Aniline
75036	62533	293.2	2.83	iodoethane	Aniline
75058	62533	293.2	0.98	Acetonitrile	Aniline
75058	62533	343.2	1.03	Acetonitrile	Aniline
75058	62533	393.2	1.1	Acetonitrile	Aniline
75092	62533	293.2	1.41	Dichloromethane	Aniline
75150	62533	293.2	3.53	Carbon Disulfide	Aniline
75525	62533	298.2	1.14	Nitromethane	Aniline
78784	62533	293.2	20.29	Isopentane	Aniline
79163	62533	413.5	1.26	N-Methylacetamide	Aniline
96377	62533	293.2	13.7	Methylcyclopentane	Aniline
108394	62533	453.2	0.78	M-Cresol	Aniline
108394	62533	453.2	0.82	M-Cresol	Aniline
108394	62533	437.9	0.77	M-Cresol	Aniline
108394	62533	437.9	0.8	M-Cresol	Aniline
108394	62533	422.9	0.77	M-Cresol	Aniline
108394	62533	422.9	0.77	M-Cresol	Aniline
108394	62533	407.9	0.75	M-Cresol	Aniline
108394	62533	407.9	0.76	M-Cresol	Aniline
108394	62533	408.2	0.76	M-Cresol	Aniline
108872	62533	293.2	17.5	Methylcyclohexane	Aniline
108872	62533	293.2	17.53	Methylcyclohexane	Aniline
108883	62533	298.2	2.84	Toluene	Aniline
108907	62533	293.2	2.59	Chlorobenzene	Aniline
108907	62533	343.2	2.08	Chlorobenzene	Aniline
108907	62533	393.2	1.79	Chlorobenzene	Aniline
109660	62533	293.2	19.72	pentane	Aniline
109660	62533	293.2	20.1	pentane	Aniline
109671	62533	293.2	10.4	1-Pentene	Aniline
110543	62533	293.2	24.87	hexane	Aniline
110543	62533	293.2	25.7	hexane	Aniline
110543	62533	298.2	26.25	hexane	Aniline
110543	62533	298.2	26.63	hexane	Aniline
110543	62533	298.2	27	hexane	Aniline
110543	62533	298.2	27.09	hexane	Aniline
110543	62533	323.2	14	hexane	Aniline
110543	62533	373.2	8	hexane	Aniline
111659	62533	298.2	37.74	octane	Aniline
123911	62533	298.2	0.38	dioxane	Aniline
141786	62533	293.2	1.44	Ethyl Acetate	Aniline
142825	62533	293.2	31.77	heptane	Aniline
142825	62533	293.2	31.8	heptane	Aniline
287923	62533	293.2	9.18	Cyclopentane	Aniline
540841	62533	293.2	39.4	2,2,4-Trimethylpentane	Aniline
540841	62533	293.2	39.43	2,2,4-Trimethylpentane	Aniline
592416	62533	293.2	12.5	1-Hexene	Aniline
56235	64175	298.2	5.14	Carbon Tetrachloride	Ethanol
56235	64175	313.2	4.43	Carbon Tetrachloride	Ethanol
56235	64175	333.2	4.05	Carbon Tetrachloride	Ethanol
62533	64175	313.2	3.09	Aniline	Ethanol
62533	64175	350.8	2.83	Aniline	Ethanol
62533	64175	386.7	2.44	Aniline	Ethanol
67641	64175	293.2	2.38	Acetone	Ethanol
67641	64175	303.2	2.7	Acetone	Ethanol
67641	64175	313.2	2.5	Acetone	Ethanol
67641	64175	314.3	2.43	Acetone	Ethanol
67641	64175	318.5	2.35	Acetone	Ethanol
67641	64175	322.5	2.17	Acetone	Ethanol
67641	64175	323	2.22	Acetone	Ethanol
67641	64175	323.2	2.3	Acetone	Ethanol
67641	64175	323.2	2.15	Acetone	Ethanol
67641	64175	335.8	2.03	Acetone	Ethanol
67641	64175	348.3	1.92	Acetone	Ethanol
67641	64175	351.5	1.73	Acetone	Ethanol
67663	64175	298.2	1.71	Chloroform	Ethanol
67663	64175	323.2	2.15	Chloroform	Ethanol
67663	64175	323.2	2.14	Chloroform	Ethanol
71238	64175	313.2	1.02	n-propanol	Ethanol
71363	64175	313.2	1.1	1-Butanol	Ethanol
71432	64175	296.8	5.4	Benzene	Ethanol
71432	64175	298.2	6	Benzene	Ethanol
71432	64175	298.2	5.21	Benzene	Ethanol
71432	64175	298.2	4.44	Benzene	Ethanol
71432	64175	313.2	4.26	Benzene	Ethanol
71432	64175	318.8	5.1	Benzene	Ethanol
71432	64175	333.2	5.5	Benzene	Ethanol
71432	64175	334.7	4.7	Benzene	Ethanol
71432	64175	346.4	4.4	Benzene	Ethanol
71432	64175	353.2	4.4	Benzene	Ethanol
71432	64175	373.2	5	Benzene	Ethanol
74964	64175	293.2	4.19	Bromoethane	Ethanol
75036	64175	293.2	6.17	iodoethane	Ethanol
75058	64175	293.2	4.69	Acetonitrile	Ethanol
75058	64175	323.2	3.7	Acetonitrile	Ethanol
75058	64175	343.2	3.06	Acetonitrile	Ethanol
75058	64175	393.2	2.09	Acetonitrile	Ethanol
75092	64175	298.2	2.5	Dichloromethane	Ethanol
75525	64175	298.2	7.77	Nitromethane	Ethanol
75525	64175	298.2	6.82	Nitromethane	Ethanol
75525	64175	348.2	4.67	Nitromethane	Ethanol
75525	64175	398.2	2.97	Nitromethane	Ethanol
75650	64175	313.2	0.78	t-butanol	Ethanol
78831	64175	313.2	1.07	i-butanol	Ethanol
78831	64175	351.4	1.22	i-butanol	Ethanol
78831	64175	351.5	1.22	i-butanol	Ethanol
78831	64175	424	1.38	i-butanol	Ethanol
78831	64175	424	1.38	i-butanol	Ethanol
79163	64175	313.2	0.82	N-Methylacetamide	Ethanol
96377	64175	313.2	8.03	Methylcyclopentane	Ethanol
106423	64175	313.2	7.11	P-Xylene	Ethanol
107835	64175	298.2	10.23	2-Methylpentane	Ethanol
108087	64175	298.2	11.85	2,4-Dimethylpentane	Ethanol
108485	64175	313.2	0.93	2,6-Dimethylpyridine	Ethanol
108872	64175	313.2	10.75	Methylcyclohexane	Ethanol
108872	64175	333.2	9.76	Methylcyclohexane	Ethanol
108883	64175	296.4	7.8	Toluene	Ethanol
108883	64175	298.2	5.77	Toluene	Ethanol
108883	64175	303.2	5.97	Toluene	Ethanol
108883	64175	313.2	5.74	Toluene	Ethanol
108883	64175	318.5	5.6	Toluene	Ethanol
108883	64175	318.5	5.6	Toluene	Ethanol
108883	64175	318.6	7	Toluene	Ethanol
108883	64175	318.6	6.9	Toluene	Ethanol
108883	64175	323.2	5.84	Toluene	Ethanol
108883	64175	323.2	5.53	Toluene	Ethanol
108883	64175	330	5.34	Toluene	Ethanol
108883	64175	333.2	5.64	Toluene	Ethanol
108883	64175	333.2	5.37	Toluene	Ethanol
108883	64175	337.2	6	Toluene	Ethanol
108883	64175	343.2	5.39	Toluene	Ethanol
108883	64175	349.4	5.14	Toluene	Ethanol
108883	64175	351.2	5.19	Toluene	Ethanol
108883	64175	351.8	5.6	Toluene	Ethanol
108907	64175	323.2	5.2	Chlorobenzene	Ethanol
108907	64175	335.8	5.1	Chlorobenzene	Ethanol
108907	64175	348	4.9	Chlorobenzene	Ethanol
109660	64175	293.2	9.6	pentane	Ethanol
109660	64175	298.2	7.78	pentane	Ethanol
109660	64175	298.2	9.49	pentane	Ethanol
109660	64175	299.7	8.9	pentane	Ethanol
109660	64175	303.2	9.25	pentane	Ethanol
109660	64175	304.2	9.1	pentane	Ethanol
109660	64175	310.4	8.7	pentane	Ethanol
109660	64175	312.1	8.6	pentane	Ethanol
109660	64175	313.2	8.27	pentane	Ethanol
109660	64175	313.2	8.76	pentane	Ethanol
109660	64175	322	8.5	pentane	Ethanol
109660	64175	322.2	8.3	pentane	Ethanol
109660	64175	323.2	8.25	pentane	Ethanol
109660	64175	324.7	8.3	pentane	Ethanol
109660	64175	335.2	8.2	pentane	Ethanol
109660	64175	343	7.8	pentane	Ethanol
109660	64175	352.4	7	pentane	Ethanol
109660	64175	354.2	6.9	pentane	Ethanol
109660	64175	354.4	7.4	pentane	Ethanol
109740	64175	278.2	4.53	butanenitrile	Ethanol
109740	64175	288.2	4.16	butanenitrile	Ethanol
109740	64175	293.2	3.95	butanenitrile	Ethanol
109740	64175	298.2	3.86	butanenitrile	Ethanol
109740	64175	303.2	3.7	butanenitrile	Ethanol
109740	64175	308.2	3.63	butanenitrile	Ethanol
109740	64175	313.2	3.5	butanenitrile	Ethanol
109740	64175	323.2	3.37	butanenitrile	Ethanol
110543	64175	293.2	9.57	hexane	Ethanol
110543	64175	293.2	12	hexane	Ethanol
110543	64175	298.2	12	hexane	Ethanol
110543	64175	298.2	10.59	hexane	Ethanol
110543	64175	303.2	12.7	hexane	Ethanol
110543	64175	313.2	8.21	hexane	Ethanol
110543	64175	313.2	11.6	hexane	Ethanol
110543	64175	313.2	9.9	hexane	Ethanol
110543	64175	322.2	10	hexane	Ethanol
110543	64175	333.2	7.24	hexane	Ethanol
110543	64175	333.2	9.7	hexane	Ethanol
110543	64175	350.9	8.1	hexane	Ethanol
110543	64175	354.2	8.7	hexane	Ethanol
110543	64175	373.2	8.4	hexane	Ethanol
110861	64175	313.2	0.96	Pyridine	Ethanol
110861	64175	336.4	0.96	Pyridine	Ethanol
110861	64175	350.6	0.94	Pyridine	Ethanol
111659	64175	298.2	16.12	octane	Ethanol
111659	64175	298.2	15.47	octane	Ethanol
111659	64175	322.2	14.5	octane	Ethanol
111659	64175	338	13.1	octane	Ethanol
111659	64175	343.2	14.28	octane	Ethanol
111659	64175	353.7	13	octane	Ethanol
111842	64175	298.2	19.65	nonane	Ethanol
111842	64175	301.1	20.8	nonane	Ethanol
111842	64175	320.9	19.8	nonane	Ethanol
111842	64175	320.9	18.9	nonane	Ethanol
111842	64175	355.2	15.5	nonane	Ethanol
123397	64175	303.2	1.46	N-Methylformamide	Ethanol
123397	64175	313.2	1.43	N-Methylformamide	Ethanol
123911	64175	298.2	3.1	dioxane	Ethanol
123911	64175	323.2	2.89	dioxane	Ethanol
123911	64175	323.2	2.84	dioxane	Ethanol
141786	64175	298.2	3.61	Ethyl Acetate	Ethanol
141786	64175	328.2	2.62	Ethyl Acetate	Ethanol
142825	64175	293.5	12.7	heptane	Ethanol
142825	64175	298.2	13.07	heptane	Ethanol
142825	64175	303.2	15	heptane	Ethanol
142825	64175	303.2	13.13	heptane	Ethanol
142825	64175	303.3	13.11	heptane	Ethanol
142825	64175	303.3	11.9	heptane	Ethanol
142825	64175	313.1	11.1	heptane	Ethanol
142825	64175	313.2	15.34	heptane	Ethanol
142825	64175	313.2	14.1	heptane	Ethanol
142825	64175	313.2	12.88	heptane	Ethanol
142825	64175	319.4	11.8	heptane	Ethanol
142825	64175	322.2	12	heptane	Ethanol
142825	64175	322.8	10.5	heptane	Ethanol
142825	64175	323.2	13.3	heptane	Ethanol
142825	64175	323.2	11.56	heptane	Ethanol
142825	64175	333.2	14.21	heptane	Ethanol
142825	64175	335.2	10.9	heptane	Ethanol
142825	64175	337.7	11.2	heptane	Ethanol
142825	64175	343.1	10.9	heptane	Ethanol
142825	64175	347.8	10.3	heptane	Ethanol
142825	64175	354.2	10.8	heptane	Ethanol
287923	64175	313.2	6.8	Cyclopentane	Ethanol
540841	64175	296.7	14	2,2,4-Trimethylpentane	Ethanol
540841	64175	318.7	12.9	2,2,4-Trimethylpentane	Ethanol
540841	64175	333.2	12.13	2,2,4-Trimethylpentane	Ethanol
540841	64175	337	12.2	2,2,4-Trimethylpentane	Ethanol
540841	64175	353.2	11.9	2,2,4-Trimethylpentane	Ethanol
565753	64175	298.2	13.35	2,3,4-Trimethylpentane	Ethanol
592132	64175	298.2	14.31	2,5-Dimethylhexane	Ethanol
616386	64175	313.2	5.44	Dimethyl Carbonate	Ethanol
1678917	64175	298.2	13.43	Ethylcyclohexane	Ethanol
56235	67561	293.2	7.48	Carbon Tetrachloride	Methanol
56235	67561	298.2	7.58	Carbon Tetrachloride	Methanol
56235	67561	313.2	7.22	Carbon Tetrachloride	Methanol
56235	67561	333.2	6.52	Carbon Tetrachloride	Methanol
60297	67561	298.2	3.47	Diethyl Ether	Methanol
60297	67561	338.2	3.29	Diethyl Ether	Methanol
60297	67561	388.2	2.98	Diethyl Ether	Methanol
64175	67561	337	1.02	Ethanol	Methanol
67641	67561	298.2	2.16	Acetone	Methanol
67641	67561	303.2	2.11	Acetone	Methanol
67641	67561	308.2	2.04	Acetone	Methanol
67641	67561	313.2	2	Acetone	Methanol
67641	67561	313.2	2.01	Acetone	Methanol
67641	67561	323.2	1.94	Acetone	Methanol
67641	67561	337.7	1.72	Acetone	Methanol
67641	67561	337.8	1.83	Acetone	Methanol
67641	67561	337.8	1.98	Acetone	Methanol
67663	67561	293.2	2.21	Chloroform	Methanol
67663	67561	298.2	2.34	Chloroform	Methanol
67663	67561	303.2	2.28	Chloroform	Methanol
67663	67561	317.7	2.43	Chloroform	Methanol
67663	67561	323.2	2.85	Chloroform	Methanol
67663	67561	328.2	2.39	Chloroform	Methanol
71238	67561	313.2	1.13	n-propanol	Methanol
71238	67561	333.2	1.12	n-propanol	Methanol
71363	67561	313.2	1.3	1-Butanol	Methanol
71432	67561	298.2	6.47	Benzene	Methanol
71432	67561	298.2	6.82	Benzene	Methanol
71432	67561	298.2	7	Benzene	Methanol
71432	67561	298.2	7.17	Benzene	Methanol
71432	67561	298.2	7.5	Benzene	Methanol
71432	67561	303.2	7.17	Benzene	Methanol
71432	67561	333.2	5.8	Benzene	Methanol
71432	67561	373.2	4.7	Benzene	Methanol
75058	67561	326	2.66	Acetonitrile	Methanol
75058	67561	333.5	2.6	Acetonitrile	Methanol
75092	67561	298.2	2.81	Dichloromethane	Methanol
75092	67561	298.2	3.26	Dichloromethane	Methanol
75092	67561	348.2	3.2	Dichloromethane	Methanol
75092	67561	398.2	3.25	Dichloromethane	Methanol
75525	67561	298.2	5.59	Nitromethane	Methanol
75525	67561	298.2	5.68	Nitromethane	Methanol
75525	67561	308.7	5.05	Nitromethane	Methanol
75525	67561	318.5	4.7	Nitromethane	Methanol
75525	67561	328.5	4.24	Nitromethane	Methanol
75525	67561	337	3.83	Nitromethane	Methanol
75525	67561	348.2	4.14	Nitromethane	Methanol
75525	67561	388.2	3.29	Nitromethane	Methanol
75650	67561	313.2	0.7	t-butanol	Methanol
78831	67561	313.2	1.25	i-butanol	Methanol
79163	67561	398.6	0.7	N-Methylacetamide	Methanol
100414	67561	298.2	13.2	Ethylbenzene	Methanol
100414	67561	298.2	13.9	Ethylbenzene	Methanol
104518	67561	298.2	24.5	N-Butylbenzene	Methanol
104518	67561	298.2	24.8	N-Butylbenzene	Methanol
106423	67561	313.2	12.76	P-Xylene	Methanol
107062	67561	323.2	4.95	1,2-Dichloroethane	Methanol
107835	67561	298.2	23.9	2-Methylpentane	Methanol
108087	67561	298.2	30.09	2,4-Dimethylpentane	Methanol
108485	67561	313.2	0.98	2,6-Dimethylpyridine	Methanol
108883	67561	298.2	9.67	Toluene	Methanol
108883	67561	298.2	10.04	Toluene	Methanol
108883	67561	298.2	10.1	Toluene	Methanol
108883	67561	303.2	9.97	Toluene	Methanol
108883	67561	307.2	9.84	Toluene	Methanol
108883	67561	308.2	10.1	Toluene	Methanol
108883	67561	308.7	9.7	Toluene	Methanol
108883	67561	318.2	9.77	Toluene	Methanol
108883	67561	318.5	9.42	Toluene	Methanol
108883	67561	328.2	9.43	Toluene	Methanol
108883	67561	328.5	9.15	Toluene	Methanol
108883	67561	337	8.9	Toluene	Methanol
108883	67561	337.2	9.21	Toluene	Methanol
108907	67561	328.2	8.75	Chlorobenzene	Methanol
109660	67561	298.2	19.5	pentane	Methanol
109660	67561	298.2	18.42	pentane	Methanol
109660	67561	303.2	20.3	pentane	Methanol
109660	67561	313.2	18.5	pentane	Methanol
109740	67561	278.2	3.97	butanenitrile	Methanol
109740	67561	288.2	3.56	butanenitrile	Methanol
109740	67561	298.2	3.45	butanenitrile	Methanol
109740	67561	308.2	3.31	butanenitrile	Methanol
109740	67561	318.2	3.17	butanenitrile	Methanol
110543	67561	298.2	27	hexane	Methanol
110543	67561	298.2	25.89	hexane	Methanol
110543	67561	303.2	25.9	hexane	Methanol
110543	67561	313.2	23.5	hexane	Methanol
110543	67561	333.2	19	hexane	Methanol
110543	67561	373.2	13.5	hexane	Methanol
110861	67561	298.2	0.82	Pyridine	Methanol
110861	67561	308.2	0.87	Pyridine	Methanol
110861	67561	313.2	0.89	Pyridine	Methanol
110861	67561	318.2	0.91	Pyridine	Methanol
111659	67561	298.2	48.02	octane	Methanol
111659	67561	298.2	45.86	octane	Methanol
111659	67561	308.7	43.2	octane	Methanol
111659	67561	318.5	39.7	octane	Methanol
111659	67561	328.5	35.9	octane	Methanol
111659	67561	337	32.3	octane	Methanol
111842	67561	298.2	64.79	nonane	Methanol
123397	67561	303.2	1.18	N-Methylformamide	Methanol
123397	67561	313.2	1.14	N-Methylformamide	Methanol
123911	67561	298.2	3.39	dioxane	Methanol
123911	67561	308.7	3.23	dioxane	Methanol
123911	67561	318.5	3.12	dioxane	Methanol
123911	67561	328.5	2.98	dioxane	Methanol
123911	67561	337	2.88	dioxane	Methanol
142825	67561	298.2	35.14	heptane	Methanol
142825	67561	303.2	35.1	heptane	Methanol
142825	67561	313.2	31.7	heptane	Methanol
287923	67561	288.2	16.2	Cyclopentane	Methanol
565753	67561	298.2	37.16	2,3,4-Trimethylpentane	Methanol
592132	67561	298.2	39.65	2,5-Dimethylhexane	Methanol
616386	67561	313.2	5.45	Dimethyl Carbonate	Methanol
1678917	67561	298.2	39.07	Ethylcyclohexane	Methanol
56235	67630	354.8	3.41	Carbon Tetrachloride	i-propanol
64175	67630	298.2	0.88	Ethanol	i-propanol
67663	67630	323.2	1.95	Chloroform	i-propanol
71363	67630	313.2	0.98	1-Butanol	i-propanol
71432	67630	298.2	4.5	Benzene	i-propanol
71432	67630	298.2	4.24	Benzene	i-propanol
71432	67630	313.2	3.68	Benzene	i-propanol
75525	67630	298.2	9.38	Nitromethane	i-propanol
75832	67630	308.2	5.92	2,2-Dimethylbutane	i-propanol
78831	67630	313.2	0.98	i-butanol	i-propanol
100414	67630	298.2	6.2	Ethylbenzene	i-propanol
100414	67630	298.2	6.07	Ethylbenzene	i-propanol
104518	67630	298.2	8.51	N-Butylbenzene	i-propanol
104518	67630	298.2	8.5	N-Butylbenzene	i-propanol
107835	67630	298.2	6.49	2-Methylpentane	i-propanol
108087	67630	298.2	7.43	2,4-Dimethylpentane	i-propanol
108087	67630	308.2	6.91	2,4-Dimethylpentane	i-propanol
108485	67630	313.2	1.12	2,6-Dimethylpyridine	i-propanol
108872	67630	323.9	6.02	Methylcyclohexane	i-propanol
108872	67630	332.7	5.8	Methylcyclohexane	i-propanol
108872	67630	343.8	5.46	Methylcyclohexane	i-propanol
108872	67630	354.6	5.16	Methylcyclohexane	i-propanol
108883	67630	298.2	5.3	Toluene	i-propanol
108883	67630	298.2	5.18	Toluene	i-propanol
108883	67630	298.2	5.08	Toluene	i-propanol
108883	67630	313.2	4.97	Toluene	i-propanol
108883	67630	321	4.66	Toluene	i-propanol
108883	67630	331.7	4.34	Toluene	i-propanol
108883	67630	343.1	4.08	Toluene	i-propanol
108883	67630	354.8	3.63	Toluene	i-propanol
109660	67630	298.2	5.39	pentane	i-propanol
109660	67630	308.2	6.42	pentane	i-propanol
109740	67630	278.2	4.67	butanenitrile	i-propanol
109740	67630	288.2	4.33	butanenitrile	i-propanol
109740	67630	293.2	4.1	butanenitrile	i-propanol
109740	67630	298.2	3.92	butanenitrile	i-propanol
109740	67630	303.2	3.82	butanenitrile	i-propanol
109740	67630	308.2	3.64	butanenitrile	i-propanol
109740	67630	313.2	3.55	butanenitrile	i-propanol
109740	67630	323.2	3.15	butanenitrile	i-propanol
110543	67630	298.2	6.53	hexane	i-propanol
110543	67630	308.2	7.4	hexane	i-propanol
110543	67630	323.9	5.68	hexane	i-propanol
110543	67630	328.2	5.84	hexane	i-propanol
110543	67630	332.7	5.48	hexane	i-propanol
110543	67630	343.8	5.23	hexane	i-propanol
110543	67630	354.6	5.11	hexane	i-propanol
110861	67630	313.2	0.99	Pyridine	i-propanol
111659	67630	298.2	9.22	octane	i-propanol
111659	67630	298.2	9.6	octane	i-propanol
111659	67630	308.2	9.94	octane	i-propanol
111659	67630	353.2	6.28	octane	i-propanol
111842	67630	298.2	10.85	nonane	i-propanol
123911	67630	298.2	3.01	dioxane	i-propanol
123911	67630	323.2	2.32	dioxane	i-propanol
123911	67630	333.2	2.19	dioxane	i-propanol
123911	67630	343.2	2.46	dioxane	i-propanol
123911	67630	353.2	2.3	dioxane	i-propanol
141786	67630	288.2	3.55	Ethyl Acetate	i-propanol
141786	67630	328.2	1.96	Ethyl Acetate	i-propanol
