1 264 T(K)	P(Mpa)	rho(g/cm3)	D(cm2/s)	0.577124869	2.381951731	0.167727541	48.12771503	0.00801	0.497302	190.6	4.604
403	11	0.054251	0.00315	Greiner, Schmid, JCP 94,1991							
403	21	0.10211	0.00184	Greiner, Schmid, JCP 94,1991							
403	31	0.14351	0.00118	Greiner, Schmid, JCP 94,1991							
427	27	0.11871	0.00171	Greiner, Schmid, JCP 94,1991							
427	57	0.2062	0.000798	Greiner, Schmid, JCP 94,1991							
427	107	0.2825	0.00052	Greiner, Schmid, JCP 94,1991							
427	157	0.32668	0.000409	Greiner, Schmid, JCP 94,1991							
427	207	0.35778	0.000351	Greiner, Schmid, JCP 94,1991							
454	11	0.04698	0.00345	Greiner, Schmid, JCP 94,1991							
454	21	0.087698	0.00225	Greiner, Schmid, JCP 94,1991							
454	27	0.11005	0.00183	Greiner, Schmid, JCP 94,1991							
454	31	0.12389	0.00146	Greiner, Schmid, JCP 94,1991							
454	57	0.19424	0.000936	Greiner, Schmid, JCP 94,1991							
454	107	0.27123	0.000593	Greiner, Schmid, JCP 94,1991							
454	157	0.31651	0.000473	Greiner, Schmid, JCP 94,1991							
454	207	0.34844	0.0004	Greiner, Schmid, JCP 94,1991							
110	2.076	0.4267172	0.0000512	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
110	2.077	0.4267172	0.0000519	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
110	9.898	0.43329442	0.0000478	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
110	9.9	0.43329442	0.0000463	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
110	20.883	0.44131542	0.0000418	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
110	33.2	0.449176	0.0000382	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
110	46.781	0.45687616	0.0000348	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
110	61.493	0.46409506	0.0000295	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
110	65.597	0.4668222	0.0000291	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
110	80.06	0.47211606	0.0000262	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
140	1.525	0.37875162	0.000111	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
140	5.464	0.38516842	0.000104	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
140	18.047	0.40105	0.0000886	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
140	34.838	0.41693158	0.0000768	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
140	56.313	0.43265274	0.0000648	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
140	84.84	0.449176	0.0000546	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
140	84.843	0.449176	0.000054	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
140	119.968	0.465218	0.0000441	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
140	164.41	0.48126	0.0000352	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
140	221.58	0.497302	0.0000285	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
160	1.649	0.336882	0.000175	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
160	7.188	0.35308442	0.000158	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
160	15.387	0.368966	0.000139	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
160	26.82	0.385008	0.000125	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
160	42.089	0.40105	0.000107	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
160	61.851	0.417092	0.0000903	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
160	86.857	0.433134	0.0000791	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
160	118.061	0.449176	0.0000659	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
160	156.763	0.465218	0.0000562	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
160	204.77	0.48126	0.0000458	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
223.15	6.2	0.08037042	0.0014	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
223.15	7.89	0.12063584	0.00092	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
223.15	16.92	0.25635116	0.000378	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
223.15	21.68	0.28025374	0.000328	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
223.15	143.85	0.41837536	0.000129	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
223.15	143.9	0.41837536	0.000128	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
223.15	144.04	0.41853578	0.000127	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
223.15	173	0.43169022	0.000114	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
298.15	8.57	0.06384716	0.00217	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
298.15	10.49	0.08021	0.00169	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
298.15	19.69	0.15496572	0.000856	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
298.15	42.14	0.25442612	0.000464	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
298.15	56.71	0.28683096	0.000389	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
298.15	76.73	0.31715034	0.000314	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
298.15	77.27	0.31779202	0.000317	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
298.15	77.29	0.31795244	0.000313	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
298.15	77.32	0.31795244	0.000324	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
298.15	107.63	0.34923434	0.000269	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
298.15	140.75	0.37409944	0.000229	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
298.15	163.68	0.38789556	0.000208	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
323.15	39.3	0.22410674	0.000596	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
323.15	44.76	0.23998832	0.000536	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
323.15	50.93	0.25538864	0.000492	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
323.15	66.94	0.28586844	0.000412	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
323.15	89.79	0.31666908	0.000344	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
323.15	89.82	0.31666908	0.000348	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
323.15	89.83	0.31666908	0.000344	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
323.15	122.82	0.34779056	0.000288	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
323.15	159.79	0.37345776	0.000246	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
223.15	11.3	0.20014	0.000552	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
223.15	35.85	0.31974	0.000268	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
223.15	143.9	0.41856	0.00013	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
298.15	32.89	0.22444	0.000579	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
298.15	77.3	0.31772	0.000336	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
298.15	140.85	0.37408	0.000238	KR Harris and NJ Trappenier, Physica 104A, 1980, 262-280							
223.15	3.15	0.03224442	0.0034	Kharris, 1978							
223.15	4.34	0.048126	0.00227	Kharris, 1978							
223.15	5.35	0.064168	0.00171	Kharris, 1978							
223.15	6.2	0.08004958	0.0014	Kharris, 1978							
223.15	7.89	0.120315	0.00092	Kharris, 1978							
223.15	9.36	0.16042	0.000694	Kharris, 1978							
223.15	10.03	0.17630158	0.000623	Kharris, 1978							
223.15	11.3	0.200525	0.000537	Kharris, 1978							
223.15	13.08	0.224588	0.000463	Kharris, 1978							
223.15	14.72	0.24063	0.000418	Kharris, 1978							
223.15	16.92	0.256672	0.000378	Kharris, 1978							
223.15	21.68	0.280735	0.000328	Kharris, 1978							
223.15	35.85	0.32084	0.00026	Kharris, 1978							
223.15	63.29	0.360945	0.000198	Kharris, 1978							
223.15	89.96	0.385008	0.000165	Kharris, 1978							
223.15	143.85	0.417092	0.000129	Kharris, 1978							
223.15	143.9	0.417092	0.000128	Kharris, 1978							
223.15	144.04	0.417092	0.000127	Kharris, 1978							
223.15	173	0.42960476	0.000114	Kharris, 1978							
273.15	16.81	0.16074084	0.000791	Kharris, 1978							
273.15	16.81	0.16074084	0.000783	Kharris, 1978							
298.15	4.53	0.03176316	0.00438	Kharris, 1978							
298.15	8.57	0.064168	0.00217	Kharris, 1978							
298.15	10.49	0.08037042	0.00169	Kharris, 1978							
298.15	12.38	0.09657284	0.00141	Kharris, 1978							
298.15	16.22	0.12865684	0.00105	Kharris, 1978							
298.15	19.69	0.15656992	0.000856	Kharris, 1978							
298.15	20.48	0.16042	0.000825	Kharris, 1978							
298.15	20.49	0.16058042	0.00083	Kharris, 1978							
298.15	20.54	0.16106168	0.000848	Kharris, 1978							
298.15	20.55	0.16106168	0.000842	Kharris, 1978							
298.15	20.57	0.1612221	0.000826	Kharris, 1978							
298.15	20.6	0.16138252	0.000836	Kharris, 1978							
298.15	20.63	0.16154294	0.000816	Kharris, 1978							
298.15	25.8	0.192504	0.000669	Kharris, 1978							
298.15	25.81	0.19266442	0.000681	Kharris, 1978							
298.15	27.29	0.20020416	0.000662	Kharris, 1978							
298.15	32.89	0.224588	0.000555	Kharris, 1978							
298.15	32.92	0.22474842	0.000547	Kharris, 1978							
298.15	42.14	0.2550678	0.000464	Kharris, 1978							
298.15	56.71	0.288756	0.000389	Kharris, 1978							
298.15	76.73	0.3200379	0.000314	Kharris, 1978							
298.15	77.27	0.32084	0.000317	Kharris, 1978							
298.15	77.29	0.32084	0.000313	Kharris, 1978							
298.15	77.32	0.32084	0.000324	Kharris, 1978							
298.15	107.63	0.352924	0.000269	Kharris, 1978							
298.15	140.75	0.37794952	0.000229	Kharris, 1978							
298.15	163.68	0.3914248	0.000208	Kharris, 1978							
323.15	9.64	0.064168	0.00227	Kharris, 1978							
323.15	11.84	0.08004958	0.00186	Kharris, 1978							
323.15	14.11	0.096252	0.00154	Kharris, 1978							
323.15	18.79	0.128336	0.00111	Kharris, 1978							
323.15	24.14	0.16042	0.000893	Kharris, 1978							
323.15	24.13	0.16042	0.000883	Kharris, 1978							
323.15	30.7	0.192504	0.000717	Kharris, 1978							
323.15	39.3	0.224588	0.000586	Kharris, 1978							
323.15	44.76	0.24079042	0.000536	Kharris, 1978							
323.15	50.93	0.256672	0.000492	Kharris, 1978							
323.15	66.94	0.28859558	0.000412	Kharris, 1978							
323.15	89.79	0.32084	0.000344	Kharris, 1978							
323.15	89.82	0.32084	0.000348	Kharris, 1978							
323.15	89.83	0.32084	0.000344	Kharris, 1978							
323.15	89.82	0.32084	0.000344	Kharris, 1978							
323.15	122.82	0.35308442	0.000288	Kharris, 1978							
323.15	159.79	0.37891204	0.000246	Kharris, 1978							
353.8	6.8465364	0.03933	0.004256293	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
353.8	8.6598688	0.05025	0.003315423	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
353.8	11.583264	0.06803	0.002385712	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
353.8	14.7410824	0.08713	0.001891427	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
353.8	18.202272	0.10737	0.001536742	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
353.8	24.1180104	0.13912	0.001167338	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
353.8	32.3986652	0.17614	0.000876008	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
353.8	41.54117	0.2079	0.000721501	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
322.5	4.8884132	0.03106	0.005006439	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
322.5	6.515586	0.04216	0.003664611	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
322.5	8.170338	0.05375	0.00287814	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
322.5	10.2663572	0.06876	0.002283304	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
322.5	12.7622748	0.08682	0.001804884	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
322.5	15.6098272	0.10712	0.001448842	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
322.5	20.51203	0.13965	0.001096312	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
297	5.3158908	0.03793	0.00383865	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
297	6.7706936	0.04944	0.002953074	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
297	9.5561928	0.07281	0.002053289	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
297	12.7278008	0.1003	0.001475573	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
297	16.340676	0.13076	0.001124197	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
297	20.822296	0.16405	0.000880829	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
297	28.6892628	0.2083	0.000657705	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
297	41.3412208	0.2539	0.000501772	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
197.7	0.7722176	0.00801	0.013158552	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
197.7	1.3651704	0.0148	0.007101351	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
197.7	2.0891244	0.02406	0.004268495	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
197.7	2.8889212	0.03618	0.002871752	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
197.7	3.826614	0.05499	0.001922168	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
197.7	4.4402512	0.07263	0.001475974	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
197.7	7.5911748	0.2485	0.000399195	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
197.7	13.7275468	0.2967	0.000297944	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
190.9	1.585804	0.01833	0.005597381	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
190.9	1.930544	0.02318	0.004253667	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
190.9	2.309758	0.02892	0.00340249	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
190.9	2.688972	0.03542	0.002795031	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
190.9	3.137134	0.04448	0.002302158	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
190.9	3.6680336	0.05808	0.001823347	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
190.9	4.102406	0.07422	0.001417408	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
190.9	4.30925	0.08578	0.001254372	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
190.9	5.9088436	0.258	0.000348837	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
190.9	27.23446	0.3463	0.000205313	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
187.1	1.7305948	0.02097	0.004687649	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
187.1	2.4062852	0.03182	0.003086109	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
187.1	3.0888704	0.04611	0.002246801	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
187.1	3.6956128	0.0655	0.001581679	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
187.1	9.514824	0.3017	0.00027345	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
187.1	31.233444	0.3584	0.000183036	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
256.7	2.2201256	0.01844	0.006941432	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
256.7	3.1095548	0.02571	0.005036951	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
256.7	4.1230904	0.03524	0.003635074	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
256.7	5.0400988	0.04451	0.002940912	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
256.7	6.3983744	0.05929	0.002228032	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
256.7	7.687702	0.07461	0.001782603	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
256.7	9.9767756	0.10416	0.001264401	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
256.7	12.5209568	0.13788	0.000951552	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
256.7	15.651196	0.1744	0.000731651	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
256.7	21.37388	0.221	0.000544796	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
256.7	29.99238	0.2622	0.000419146	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
256.7	40.920638	0.2939	0.000361347	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
221.9	1.9236492	0.01848	0.006271645	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
221.9	2.6476032	0.02651	0.004296492	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
221.9	3.5232428	0.03726	0.003132045	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
221.9	4.4540408	0.05043	0.002337894	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
221.9	5.5365244	0.06872	0.001715658	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
221.9	6.4880068	0.08827	0.001361731	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
221.9	7.6394384	0.11698	0.001034365	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
221.9	8.9908192	0.16121	0.00074375	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
221.9	11.859056	0.2129	0.00052372	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
221.9	16.5957836	0.2572	0.000402411	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
221.9	23.4285304	0.2896	0.000335635	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
221.9	31.4196036	0.3131	0.000288726	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
173.4	1.3720652	0.01797	0.004874791	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
173.4	1.6616468	0.02265	0.003818985	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
173.4	2.0615452	0.03041	0.002913515	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
173.4	2.3511268	0.03717	0.002407856	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
173.4	2.5372864	0.04244	0.002122997	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
173.4	2.8061836	0.3021	0.000250579	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
173.4	10.0939872	0.3355	0.000196125	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
173.4	27.2896184	0.3704	0.000156048	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
154.5	0.9721668	0.014286	0.005760885	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
154.5	1.20659	0.018704	0.004271814	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
154.5	1.4892768	0.3511	0.00016548	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
154.5	23.856008	0.3894	0.000119414	Dawson, R.et al. Aiche Journal, Vol 16, 1970							
2 71 T(K)	P(Mpa)	r(g/cm3)	D(cm2/s)	0.445317616	1.486574984	5.12295082	40.98360656	0.23782	0.67174	305.4	4.88
303.3	30	0.44072	0.000186	Helbaek et al, J.Chem.Eng.Data, 1996							
303.3	40	0.45838	0.000167	Helbaek et al, J.Chem.Eng.Data, 1996							
303.3	50	0.4725	0.000152	Helbaek et al, J.Chem.Eng.Data, 1996							
333.1	30	0.40543	0.00025	Helbaek et al, J.Chem.Eng.Data, 1996							
333.1	40	0.42816	0.00021	Helbaek et al, J.Chem.Eng.Data, 1996							
333.1	50	0.44545	0.000192	Helbaek et al, J.Chem.Eng.Data, 1996							
136	25	0.61393	0.0000166	Greiner, Schmid, JCP 94,1991							
136	50	0.6249	0.0000142	Greiner, Schmid, JCP 94,1991							
136	100	0.64326	0.0000109	Greiner, Schmid, JCP 94,1991							
136	150	0.65852	0.0000087	Greiner, Schmid, JCP 94,1991							
136	200	0.67174	0.000007	Greiner, Schmid, JCP 94,1991							
150	25	0.5998	0.0000248	Greiner, Schmid, JCP 94,1991							
150	50	0.612	0.0000206	Greiner, Schmid, JCP 94,1991							
150	100	0.632	0.000016	Greiner, Schmid, JCP 94,1991							
150	150	0.64836	0.0000138	Greiner, Schmid, JCP 94,1991							
150	200	0.66239	0.0000103	Greiner, Schmid, JCP 94,1991							
168	25	0.58151	0.0000343	Greiner, Schmid, JCP 94,1991							
168	50	0.59551	0.0000297	Greiner, Schmid, JCP 94,1991							
168	100	0.61781	0.0000229	Greiner, Schmid, JCP 94,1991							
168	150	0.63562	0.0000187	Greiner, Schmid, JCP 94,1991							
168	200	0.6507	0.0000151	Greiner, Schmid, JCP 94,1991							
182	25	0.56714	0.0000427	Greiner, Schmid, JCP 94,1991							
182	50	0.58276	0.000037	Greiner, Schmid, JCP 94,1991							
182	100	0.60697	0.0000294	Greiner, Schmid, JCP 94,1991							
182	150	0.62597	0.000024	Greiner, Schmid, JCP 94,1991							
182	200	0.64186	0.0000202	Greiner, Schmid, JCP 94,1991							
202	25	0.54631	0.0000604	Greiner, Schmid, JCP 94,1991							
202	50	0.56459	0.0000505	Greiner, Schmid, JCP 94,1991							
202	100	0.59179	0.000038	Greiner, Schmid, JCP 94,1991							
202	150	0.61253	0.0000327	Greiner, Schmid, JCP 94,1991							
202	200	0.62961	0.0000276	Greiner, Schmid, JCP 94,1991							
223	25	0.52388	0.0000789	Greiner, Schmid, JCP 94,1991							
223	50	0.54554	0.0000686	Greiner, Schmid, JCP 94,1991							
223	100	0.5762	0.0000531	Greiner, Schmid, JCP 94,1991							
223	150	0.59884	0.0000434	Greiner, Schmid, JCP 94,1991							
223	200	0.61718	0.0000375	Greiner, Schmid, JCP 94,1991							
251	25	0.49279	0.000113	Greiner, Schmid, JCP 94,1991							
251	50	0.52012	0.0000944	Greiner, Schmid, JCP 94,1991							
251	100	0.55594	0.0000718	Greiner, Schmid, JCP 94,1991							
251	150	0.58121	0.0000594	Greiner, Schmid, JCP 94,1991							
261	200	0.60124	0.0000528	Greiner, Schmid, JCP 94,1991							
273	25	0.46716	0.000146	Greiner, Schmid, JCP 94,1991							
273	50	0.5001	0.000118	Greiner, Schmid, JCP 94,1991							
273	100	0.54041	0.0000891	Greiner, Schmid, JCP 94,1991							
273	150	0.56782	0.0000724	Greiner, Schmid, JCP 94,1991							
273	200	0.58919	0.0000627	Greiner, Schmid, JCP 94,1991							
294	25	0.4415	0.000187	Greiner, Schmid, JCP 94,1991							
294	50	0.48097	0.00014	Greiner, Schmid, JCP 94,1991							
294	100	0.5259	0.000103	Greiner, Schmid, JCP 94,1991							
294	150	0.55542	0.0000857	Greiner, Schmid, JCP 94,1991							
294	200	0.57806	0.000073	Greiner, Schmid, JCP 94,1991							
319	25	0.40933	0.000238	Greiner, Schmid, JCP 94,1991							
319	50	0.45823	0.000181	Greiner, Schmid, JCP 94,1991							
319	100	0.50906	0.000131	Greiner, Schmid, JCP 94,1991							
319	150	0.54109	0.000107	Greiner, Schmid, JCP 94,1991							
319	200	0.56524	0.0000898	Greiner, Schmid, JCP 94,1991							
348	25	0.37004	0.000316	Greiner, Schmid, JCP 94,1991							
348	50	0.43204	0.000228	Greiner, Schmid, JCP 94,1991							
348	100	0.49009	0.00016	Greiner, Schmid, JCP 94,1991							
348	150	0.52507	0.000129	Greiner, Schmid, JCP 94,1991							
348	200	0.55093	0.000108	Greiner, Schmid, JCP 94,1991							
393	25	0.30817	0.000464	Greiner, Schmid, JCP 94,1991							
393	50	0.39249	0.000302	Greiner, Schmid, JCP 94,1991							
393	100	0.46199	0.000207	Greiner, Schmid, JCP 94,1991							
393	150	0.50143	0.000173	Greiner, Schmid, JCP 94,1991							
393	200	0.52986	0.000142	Greiner, Schmid, JCP 94,1991							
454	25	0.23782	0.000716	Greiner, Schmid, JCP 94,1991							
454	50	0.34305	0.000432	Greiner, Schmid, JCP 94,1991							
454	100	0.42666	0.000305	Greiner, Schmid, JCP 94,1991							
454	150	0.47171	0.000239	Greiner, Schmid, JCP 94,1991							
454	200	0.50335	0.000208	Greiner, Schmid, JCP 94,1991							
3 89 T(K)	P(Mpa)	r(g/cm3)	D(cm2/s)	0.302866414	1.224986479	9.01953E-06	47.0698988	0.36961	0.75644	369.8	4.249
112	25	0.71502	0.00000249	Greiner, Schmid, JCP 94,1991							
112	50	0.72315	0.00000199	Greiner, Schmid, JCP 94,1991							
112	100	0.7375	0.00000144	Greiner, Schmid, JCP 94,1991							
112	150	0.75002	0.00000102	Greiner, Schmid, JCP 94,1991							
119	25	0.70841	0.00000345	Greiner, Schmid, JCP 94,1991							
